"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"
"ENSMUSG00000000001"	0.0392123371127898	-0.768790250324853	-0.253875485989236	-0.153890680028734	-0.556318379110592	-1.24277159306807	-0.230634191837374	1.13802053640308	2.02904770684299
"ENSMUSG00000000028"	0.583561416665619	1.03683540591349	0.944222171740983	0.774598630144623	-0.620123677200028	0.691418889615556	-1.49596796535818	-0.674787724016026	-1.23975714750604
"ENSMUSG00000000031"	-0.40458625838929	-0.990058087592496	0.0703628275459634	-1.208116472959	0.557260318158833	1.22039677776655	-0.945251570051435	0.0584144228683466	1.64157804265253
"ENSMUSG00000000037"	-0.51312420768341	0.0906465477295616	0.679849107971711	-0.28327046165488	-0.663662224448575	2.3924213847195	-0.663662224448575	-0.663662224448575	-0.375535697736755
"ENSMUSG00000000056"	1.06878826415037	1.13261964287006	1.0133779718617	-0.262633425476246	-0.63343508491049	-1.73461194797186	-0.825476934008174	-0.302570827249383	0.543942340734026
"ENSMUSG00000000058"	1.36505139924097	0.0285489113013322	1.7964871946381	-1.03277341739826	0.0123761489597824	-1.04262299446341	-0.83249868374012	-0.242618457282546	-0.0519501012558549
"ENSMUSG00000000078"	-0.878898107061635	-1.13658382129334	-0.954058593864182	0.512644670945372	-0.656129146616373	-0.404201702672748	1.17639982763995	1.32065777570495	1.020169097218
"ENSMUSG00000000085"	0.0403400416369662	0.0566064111248186	0.770828997742323	-0.990556725393659	-1.06024002179303	-1.59827827393213	0.639574788703517	0.931870215868859	1.20985456604233
"ENSMUSG00000000088"	-0.913862142331535	-0.733298820083122	-0.977924457483678	-0.317469657254273	-0.209520883178933	1.373343879486	1.90544899064741	-0.0381717314917707	-0.0885451783101014
"ENSMUSG00000000093"	-0.500243935289913	-0.0493528536201214	1.1795651796118	-0.56835726890386	-0.574113325265602	2.17056621655838	-0.408147033502041	-0.476260367115988	-0.773656612472659
"ENSMUSG00000000120"	1.65084566675652	0.997497951737248	0.915224535771857	-0.500362180103239	0.14088650315642	-0.894790615466728	-1.26018137460714	-0.865752939243649	-0.183367548001294
"ENSMUSG00000000125"	-0.790440556443654	-0.718273919608767	-0.790440556443654	-0.790440556443654	1.710410973873	0.327217101204337	1.27833636615644	0.564071704149607	-0.790440556443654
"ENSMUSG00000000126"	-0.392349031719629	-1.28716140106385	0.0406246953824139	-1.28716140106385	1.50311372914932	0.165705994323004	1.40689734534886	0.281165654883549	-0.430835585239811
"ENSMUSG00000000127"	-1.02460834078892	-0.957311948651149	-0.994164734821831	-0.243756552650689	1.58392800207504	-0.0140942620217989	-0.401849664339414	0.70159752737986	1.3502599738189
"ENSMUSG00000000131"	1.17851501122215	0.0191220225359534	1.25874201687209	-0.205551915939537	-1.38672986041309	-1.63949725337486	-0.0226644116028654	0.234539565724256	0.563524824975909
"ENSMUSG00000000134"	-0.075979956543917	0.105944765492758	0.547573991167588	-0.602924307336538	-1.11797614319185	-1.70094859237447	1.41215640972058	0.436047489736821	0.996106343329017
"ENSMUSG00000000142"	-0.733384111182535	-0.681673017766491	-0.641895253600302	-0.161247269925529	-0.285221301576816	0.468567329372449	2.47933330797326	-0.301795369979394	-0.142684313314642
"ENSMUSG00000000148"	-0.475476935010213	1.09508635091468	0.787968219617441	0.882705396398817	-0.433999962091003	-1.48327311109946	-1.45263671064778	0.75572929975751	0.32389745216001
"ENSMUSG00000000149"	0.1293741470322	0.73153934185557	0.345596334041433	-0.449448706279929	1.22576148359096	-2.31103099460445	-0.0676303268741928	0.514461676361631	-0.118622955123226
"ENSMUSG00000000154"	-0.460552918657146	-0.442091697290661	-0.43965638723806	-0.562443148922386	-0.348607214626331	-0.0181906313606409	2.57965672765341	0.205700776700989	-0.513815506259176
"ENSMUSG00000000157"	0.0750282372147173	0.894692161063428	2.21953876112092	0.159057626584106	-0.669663357196635	-0.669663357196635	-0.669663357196635	-0.669663357196635	-0.669663357196635
"ENSMUSG00000000159"	-0.218531328145686	-0.156655041974099	-0.323721014637385	-0.633102445495323	-0.862044704330196	1.48483443546359	-1.11838931846963	0.0325096043218975	1.79509981326683
"ENSMUSG00000000167"	-1.0297255800067	-0.335161447740153	-1.08031598721276	-0.900087661541167	0.428964494434724	0.737776771755055	1.03815731454104	-0.523821507946089	1.66421360371604
