"gut_r1"	"gut_r2"	"gut_r3"	"duct_r1"	"duct_r2"	"duct_r3"	"node_r1"	"node_r2"	"node_r3"
"ENSMUSG00000000056"	1.06878826415037	1.13261964287006	1.0133779718617	-0.262633425476246	-0.63343508491049	-1.73461194797186	-0.825476934008174	-0.302570827249383	0.543942340734026
"ENSMUSG00000000085"	0.0403400416369662	0.0566064111248186	0.770828997742323	-0.990556725393659	-1.06024002179303	-1.59827827393213	0.639574788703517	0.931870215868859	1.20985456604233
"ENSMUSG00000000125"	-0.790440556443654	-0.718273919608767	-0.790440556443654	-0.790440556443654	1.710410973873	0.327217101204337	1.27833636615644	0.564071704149607	-0.790440556443654
"ENSMUSG00000000127"	-1.02460834078892	-0.957311948651149	-0.994164734821831	-0.243756552650689	1.58392800207504	-0.0140942620217989	-0.401849664339414	0.70159752737986	1.3502599738189
"ENSMUSG00000000244"	-1.04953733122892	-1.00158987043029	-1.0832634820528	0.878462653136737	0.736994368314388	1.82807840707998	0.04035965874991	-0.140141583237144	-0.209362820331857
"ENSMUSG00000000247"	-0.923610997869562	-0.910968906881506	-0.923610997869562	-0.516794992997501	0.516128671962517	-0.691028939307248	0.677234293015437	1.66072414065036	1.11192772929706
"ENSMUSG00000000253"	-0.850164786802475	-0.822270863651079	-0.393964172681267	0.519336859533775	2.06205077060046	-0.824070471596331	0.784779031458344	-0.745787525977899	0.270091159116468
"ENSMUSG00000000266"	-0.736876891131217	-0.677772502087455	-0.762091148842546	0.0247021401711949	1.61997840225143	1.71541301208356	-0.736876891131217	0.0981759448999075	-0.544652066213662
"ENSMUSG00000000275"	1.71790858156646	1.37642579282994	0.697195929622227	-0.649475378338444	-0.425828643043933	-0.605602024478894	-1.08007105771172	-0.496777594943558	-0.533775605502079
"ENSMUSG00000000282"	1.74743596368245	1.09747384222468	0.773924920843271	-0.813687474192926	0.22956875486826	-0.492172190684928	-0.934875105776208	-0.70447252755453	-0.903196183410075
"ENSMUSG00000000290"	1.3643164601391	1.20612098991069	1.23060153477788	-0.0929673162969853	-0.226396681224884	-0.630129035621019	-0.987862363549483	-0.92729599760825	-0.936387590527052
"ENSMUSG00000000303"	1.76324640339846	0.966369158066738	1.18442002398668	-0.65879094737469	-0.658986494074566	-0.660114961488433	-0.655649978507933	-0.624228068171627	-0.656265135834626
"ENSMUSG00000000308"	0.301388847358177	1.11992862992166	2.13148342839955	-0.617561320322543	-0.617561320322543	-0.617561320322543	-0.551567215616514	-0.530988408772699	-0.617561320322543
"ENSMUSG00000000359"	-0.887232692232417	-1.00931689085781	-0.985114862039403	1.02945342436845	1.71283852212842	0.481757215989791	-0.892602964899223	0.117223107366994	0.432995140175192
"ENSMUSG00000000384"	1.54343479801526	1.52707207321508	0.675770310322635	-0.415891478485398	-0.735024622082045	-0.371404070226721	-0.272747641480409	-0.971984081718867	-0.979225287559533
"ENSMUSG00000000385"	-0.11153725607444	0.212078397517814	1.85654734059364	-0.761737514209336	-0.717863016831385	-0.763716814842928	1.43033793749355	-0.330579859525262	-0.813529214121654
"ENSMUSG00000000386"	-0.90893416171586	-0.938790467660629	-0.914340465581817	-0.226735315231507	-0.157077279342921	-0.406877710273835	0.379414666072211	1.45276775393726	1.7205729797971
"ENSMUSG00000000409"	-0.883874996789013	-0.887698864589972	-0.884616117558684	-0.389373989621741	-0.24822202005357	-0.346538785987497	1.98409681230154	0.77019618142608	0.886031780872853
"ENSMUSG00000000416"	-0.805443711110257	-0.847784898536415	-0.753086328809095	-0.526356099365798	0.294971880384619	-0.847784898536415	1.90985566318658	1.00430059016907	0.571327802617714
"ENSMUSG00000000440"	-0.530409702916033	-0.384213412288782	-0.532799833008031	-0.156752698533578	2.23656423358773	0.881758826439833	-0.542957885899025	-1.08412317422905	0.112933646846936
"ENSMUSG00000000530"	0.417726474986555	1.21769610696561	1.564621350998	-1.0928468120658	-0.418821298782598	-1.24679164007772	0.620962003110965	-0.632193792558137	-0.43035239257689
"ENSMUSG00000000544"	0.728992522674426	1.25258960084256	1.8410314188208	-0.399499516408835	-0.609519046838567	-0.703398744772595	-0.703398744772595	-0.703398744772595	-0.703398744772595
"ENSMUSG00000000552"	0.991452598275065	1.55888385708626	1.31649495267948	-0.662112744268616	-0.222167080004124	-0.788580836503384	-1.0323595001655	-0.623795096228883	-0.537816150870297
"ENSMUSG00000000555"	0.63855048188662	0.867687186402796	1.09698218916043	-0.646277194939313	-1.06030624548305	-1.20187236282247	-1.14162405212205	1.11045336950885	0.336406628408193
