ID	log2fold	p	p.adj
ENSMUSG00000032300	-1.89953099723951	9.31921470009988E-15	2.98016264188276E-12
ENSMUSG00000074677	-5.64544698543654	1.16259401112195E-14	3.65785828628321E-12
ENSMUSG00000028101	1.4679628509886	1.33382065793438E-14	4.12997453560728E-12
ENSMUSG00000007659	2.31879765688113	1.49656973757648E-14	4.49132090321606E-12
ENSMUSG00000035385	-4.43110504002021	1.48066658522268E-14	4.49132090321606E-12
ENSMUSG00000016520	2.03207839098519	1.90437018608731E-14	5.62856806363715E-12
ENSMUSG00000019188	-1.76452379578025	2.40200313298991E-14	6.99341419630359E-12
ENSMUSG00000020323	-3.73245484475074	2.81585955973445E-14	8.07779006349117E-12
ENSMUSG00000076564	-4.42213186842768	3.76901884778148E-14	1.06553986469092E-11
ENSMUSG00000032123	-1.48983231363196	4.41079333430305E-14	1.22916207960357E-11
ENSMUSG00000038991	-2.21162490203899	5.8890279381028E-14	1.61798968997988E-11
ENSMUSG00000022496	-5.08332423247853	6.00093260328247E-14	1.62583600405877E-11
ENSMUSG00000095028	-6.10496640410945	6.12855132245799E-14	1.63766644722175E-11
ENSMUSG00000043832	-5.83032971613863	6.39649082767994E-14	1.68616684561558E-11
ENSMUSG00000004709	-2.97093263841419	6.51735805998932E-14	1.69512138234949E-11
ENSMUSG00000030062	-1.67869878269435	6.634001471184E-14	1.70275614076824E-11
ENSMUSG00000022799	2.041686188529	7.39672226348284E-14	1.87386832719169E-11
ENSMUSG00000018008	-2.2808311154263	9.8516507800761E-14	2.46379681752493E-11
ENSMUSG00000079017	-2.8377276284685	1.54501125854063E-13	3.81500438232304E-11
ENSMUSG00000022106	-1.09671196811812	1.68454949904614E-13	4.10756338473662E-11
ENSMUSG00000104835	-3.07969573037748	1.71282841928128E-13	4.12495604628641E-11
ENSMUSG00000041607	1.66888479570409	2.00405475322045E-13	4.76745074037456E-11
ENSMUSG00000020571	-2.01240836994974	2.24423392686457E-13	5.27449050739122E-11
ENSMUSG00000028099	1.7400097758212	2.28543521893014E-13	5.30737914472266E-11
ENSMUSG00000018930	-4.10592112725306	2.40563559737402E-13	5.4565969299971E-11
ENSMUSG00000027078	1.96257780738192	2.3948472758727E-13	5.4565969299971E-11
ENSMUSG00000051236	2.65331233748173	2.48575499311394E-13	5.57351984490502E-11
ENSMUSG00000024353	-3.93932618808542	2.7986064994617E-13	6.13397943651679E-11
ENSMUSG00000005947	3.57278294698772	2.76949399009082E-13	6.13397943651679E-11
ENSMUSG00000095210	-6.46561787645922	2.87783199416772E-13	6.23754096780329E-11
ENSMUSG00000047798	-3.95549720925606	4.38495622263728E-13	9.39970780604235E-11
ENSMUSG00000037419	2.10081218183753	4.60404777724255E-13	9.68606174107167E-11
ENSMUSG00000112749	5.54682902877457	4.61784867954922E-13	9.68606174107167E-11
ENSMUSG00000080859	-16.7587502084594	5.58317626239563E-13	1.1586278654314E-10
ENSMUSG00000095704	2.40277186878417	5.8157849745291E-13	1.19419492103304E-10
ENSMUSG00000018425	-1.49585305809599	6.78882423870117E-13	1.37947494192025E-10
ENSMUSG00000040433	1.58941413884983	8.45382595648502E-13	1.70009054570261E-10
ENSMUSG00000031628	1.73582081648502	1.04985314628128E-12	2.0897434004601E-10
ENSMUSG00000039629	1.90179383649072	1.11602842569012E-12	2.19902691918557E-10
ENSMUSG00000025823	-2.27160700265442	1.18291129386762E-12	2.30750506094757E-10
ENSMUSG00000022247	-1.19966399075882	1.20812732221484E-12	2.33336036380643E-10
ENSMUSG00000028100	1.89541411549832	1.28225906905578E-12	2.45225761373245E-10
ENSMUSG00000000318	-4.58705403179187	1.4820657445663E-12	2.80685985235484E-10
ENSMUSG00000062127	2.18473018527463	1.50863408059922E-12	2.82970432790855E-10
ENSMUSG00000000085	1.18806021118485	1.64766172749321E-12	3.06104164935334E-10
ENSMUSG00000037824	-1.04383319800858	1.67216374109343E-12	3.07725453750089E-10
ENSMUSG00000095630	-4.14278404654878	1.84060611148874E-12	3.35557975858046E-10
ENSMUSG00000036528	1.35263621141549	1.87435353828151E-12	3.38546430289421E-10
ENSMUSG00000026656	-2.93534105604104	2.18994064247734E-12	3.91919010209225E-10
ENSMUSG00000095687	2.53741843704564	2.22676538321768E-12	3.94886475731158E-10
ENSMUSG00000075269	-5.99836638149093	2.61030771544297E-12	4.55346499865306E-10
ENSMUSG00000040751	-2.12510572136365	2.61438498923024E-12	4.55346499865306E-10
ENSMUSG00000001128	-3.74860611347298	2.98312489486568E-12	5.14971834726946E-10
ENSMUSG00000063506	2.13327201291716	3.02244504757953E-12	5.17182767922227E-10
ENSMUSG00000036775	1.07956255883573	3.68037889870334E-12	6.24288271104401E-10
ENSMUSG00000032553	-1.60401794789563	3.98385169066222E-12	6.69939611463344E-10
ENSMUSG00000023495	2.46225206396534	4.05360571396851E-12	6.7011598866427E-10
ENSMUSG00000038623	-2.55206277455857	4.04712374643628E-12	6.7011598866427E-10
ENSMUSG00000031146	-2.10418602970716	4.4290918277511E-12	7.2603608641967E-10
ENSMUSG00000036078	-1.51666217380676	4.67655186518638E-12	7.60212476951589E-10
ENSMUSG00000002504	3.30294599105237	4.82119399205099E-12	7.77248191759824E-10
ENSMUSG00000048027	1.9213046918053	5.15799278736608E-12	8.24729223796312E-10
ENSMUSG00000026773	2.09524624159482	5.25384138728635E-12	8.33225072697518E-10
ENSMUSG00000041754	-5.75572630953343	5.83490035762196E-12	9.17914526420416E-10
ENSMUSG00000017664	-1.62157191694404	6.56326454840694E-12	1.02423681236619E-09
ENSMUSG00000039981	2.38267438650711	7.07974858028615E-12	1.09606869488605E-09
ENSMUSG00000003355	-3.60133698017508	7.27942618195652E-12	1.11810839788524E-09
ENSMUSG00000010142	-2.16323350133416	7.44023153596746E-12	1.13387966071967E-09
ENSMUSG00000094951	-5.28007548905908	8.61842614256419E-12	1.30325301366666E-09
ENSMUSG00000022257	3.43391061397643	9.04601507386776E-12	1.35738935419953E-09
ENSMUSG00000025321	4.10294395484778	9.56333649332806E-12	1.42406110668206E-09
ENSMUSG00000004562	2.17513346344612	1.09161610739245E-11	1.61319359143216E-09
ENSMUSG00000032690	-4.85581888566972	1.23947069607256E-11	1.80435484091697E-09
ENSMUSG00000096490	-6.29081904992635	1.23061209695513E-11	1.80435484091697E-09
ENSMUSG00000024807	-1.21664092716187	1.26429424157001E-11	1.82685835335601E-09
ENSMUSG00000037868	-3.39767060710303	1.33204443248424E-11	1.91060226062279E-09
ENSMUSG00000022586	-6.36947544059699	1.35838369152579E-11	1.93415990296304E-09
ENSMUSG00000095788	-5.92131945417959	1.38529322706441E-11	1.95818224495257E-09
ENSMUSG00000049858	2.04560842544615	1.41358539772448E-11	1.98379930600082E-09
ENSMUSG00000003541	-2.31228494301176	1.48883902711317E-11	2.06371282421606E-09
ENSMUSG00000022528	-3.83300321513882	1.49168764143366E-11	2.06371282421606E-09
ENSMUSG00000044052	-4.29413280134249	1.55153475424739E-11	2.13139355289464E-09
ENSMUSG00000079363	2.52691306411634	1.7492949432612E-11	2.38625849358015E-09
ENSMUSG00000053436	-1.82997206244689	2.0289899460357E-11	2.74857686648045E-09
ENSMUSG00000029319	-1.1787468301676	2.05140932484561E-11	2.75978218619058E-09
ENSMUSG00000023272	-1.9439308654252	2.1641877595244E-11	2.89156237157826E-09
ENSMUSG00000052271	-4.2524971790399	2.24759988911971E-11	2.98258034265703E-09
ENSMUSG00000020397	-1.6377310169004	2.27666618111728E-11	3.00073832399019E-09
ENSMUSG00000031570	-1.67245272516856	2.44353347495779E-11	3.15668923814581E-09
ENSMUSG00000076549	-6.30520432116936	2.43219797684622E-11	3.15668923814581E-09
ENSMUSG00000002233	2.90673328259402	2.41974516467174E-11	3.15668923814581E-09
ENSMUSG00000026980	2.10931416673077	2.51426603161091E-11	3.22669654464698E-09
ENSMUSG00000051439	-3.35342168084013	2.54458644780372E-11	3.24426456452987E-09
ENSMUSG00000056629	-2.18287899039365	2.65099231593452E-11	3.35798098096978E-09
